DeviantReader,Anyone at #AHA2015 willing to take a quick look at a WWII nurse's uniform and decide the insignia for me? Happy to treat to coffee/beer.
horse_thatbooks,Trying to when at #aha2015 looks fab: http://bit.ly/1CuQxmr»_. #thatcamp
BerghahnHistory,Last call! Come and meet us at booth 614 at  #AHA2015. http://ow.ly/Gh4wM»_ @AHAhistorians
berghahnbooks,Last call! Come and meet us at booth 614 at  #AHA2015. http://ow.ly/Gh4wL»_ @AHAhistorians
KNConsultants,Making your #AHA2015 schedule? Be sure to include this panel w/ @martin_eve @kfitz @mkgold @CecyMarden @lisarnorberg! http://buff.ly/1BauFMa»_
AdjunctAction,"Going to #AHA2015? We__Òre hosting a reception. Sat. 1/3 6:30-7:30 Concourse D, NY Hilton. We would love to see you! #highered #adjuncts"
NEH_Research,ICYMI: We're coming to the @AHAhistorians meeting! Here's how you can find us. http://ow.ly/GbjKz»_ #AHA2015
jnthnwwlsn,"Digital Religion at #AHA2015: @monicalmercado's rundown of #DH panels, esp. for religion #twitterstorians: http://usreligion.blogspot.com/2014/12/digital-religion-at-aha-2015.html»___™"
JessLautin,#AHA2015 countdown: more history-rich museum recs: #killerheels @brooklynmuseum + #publiceyeNYPL @NYPL_GRD #twitterstorians
ProfessMoravec,my workshop on advanced corpus linguistics for historians full at #aha2015 but no worries as you can follow along http://bit.ly/1vmvIng»_
AHAhistorians,Historians work in many professional arenas. @VLVarin blogs on #AHA2015 session How Can I Be a Historian in This Job? http://bit.ly/170qBF9»_
elizabethkoza,Kudos to @AHAhistorians on making an app for the #aha2015 meeting! It is incredibly useful and innovative in so many ways.
EDSITEment,Going to #AHA2015 in NYC this weekend?  #NEH will staff an information table & session on Saturday 10:30 https://aha.confex.com/aha/2015/webprogram/Session12451.html»___™ 
VegHistory,"Bummed that I will be in NY & miss all the amazing #twitterstorians at #aha2015, but really excited to celebrate grandmother's 90th b-day."
TheHistoryFeed,How Can I Be a Historian in This Job? http://buff.ly/1JXHE9J»_ #AHA2015 @
SMH_Historians,"Prof. Mark Stoler to give @GeoCMarshallFou lecture at #AHA2015, 4 Jan 2015 - http://www.smh-hq.org/»_ @AHAhistorians #Twitterstorians #MilHist"
jmcclurken,Spending the morning working on my workshop and presentation on Digital History Pedagogy for #aha2015
davidkrueger01,I just downloaded my #aha2015 app. Any tips out there for those of us who can only participate virtually? https://guidebook.com/app/AHAMeeting/»_
KingsleySteph,#twitterstorians and #history professionals attending #aha2015:  still a few open slots in Digital Proj Lightning Rnd. Tweet at me to enter.
ProfessMoravec,Shout outs to @TonyMcEnery #corpusmooc @perayson @_paulbaker_ @mixosaurus @heatherfro @antlabjp in #aha2015 workshop http://bit.ly/1vmvIng»_
Jason_M_Kelly,Don__Òt Miss the Film Festival at the American Historical Association Meeting http://ow.ly/GxOhS»_ #aha2015 #twitterstorians
KingsleySteph,"To read the digital projects lightning round session abstract, go to http://bit.ly/1HVZNBc»_ #aha2015 #twitterstorians #history"
AHAhistorians,RT @KingsleySteph: Read digital projects lightning round abstract at http://bit.ly/1HVZNBc»_ #aha2015 #twitterstorians #history
SHAFRhistorians,SHAFR Events at #AHA2015 (NYC- January 2015) https://shafr.org/content/shafr-events-aha-nyc-january-2015»___™
VLVarin,One of the must see panels at @AHAHistorians #AHA2015: How Can I Be A Historian In This Job? http://bit.ly/1t9jte2»_ #Twitterstorians #postac
monicalmercado,@megankatenelson #aha2015 #moresequins
lori_flori,"Hey historians, I want to see some GQ and runway looks at #AHA2015 this wknd. Hilarity from @megankatenelson http://www.megankatenelson.com/top-ten-looks-for-your-aha-interview/»___™"
ProfessMoravec,"In keeping with #aha2015 interdisciplinarity theme, I'm bringing @triciamatthew to the #twitterstorians reception!!"
USReligionBlog,It's #AHA2015 week and @monicalmercado has your digital religion preview http://usreligion.blogspot.com/2014/12/digital-religion-at-aha-2015.html»___™
AdjunctAction,"Tenured, #adjunct, grad student? We want to see you at our #aha2015 reception Sat. 6:30-7:30 Concourse D NY Hilton #twitterstorians"
