source,target,tweetid,text,retweets,favourites,includesimage
Sarah Zarrow,DeviantReader,1419826589,Anyone at #AHA2015 willing to take a quick look at a WWII nurse's uniform and decide the insignia for me? Happy to treat to coffee/beer.,0,0,FALSE
horse_thatbooks,horse_thatbooks,1419844083,Trying to when at #aha2015 looks fab: http://bit.ly/1CuQxmr™_. #thatcamp,0,0,FALSE
Berghahn History,BerghahnHistory,1419854468,Last call! Come and meet us at booth 614 at  #AHA2015. http://ow.ly/Gh4wM™_ @AHAhistorians,0,0,FALSE
Berghahn Books,berghahnbooks,1419854468,Last call! Come and meet us at booth 614 at  #AHA2015. http://ow.ly/Gh4wL™_ @AHAhistorians,0,0,FALSE
K | N,KNConsultants,1419859083,Making your #AHA2015 schedule? Be sure to include this panel w/ @martin_eve @kfitz @mkgold @CecyMarden @lisarnorberg! http://buff.ly/1BauFMa™_,3,3,FALSE
Adjunct Action,AdjunctAction,1419859875,"Going to #AHA2015? We_éìre hosting a reception. Sat. 1/3 6:30-7:30 Concourse D, NY Hilton. We would love to see you! #highered #adjuncts",0,0,FALSE
NEH Div. of Research,NEH_Research,1419863115,ICYMI: We're coming to the @AHAhistorians meeting! Here's how you can find us. http://ow.ly/GbjKz™_ #AHA2015,3,1,FALSE
Jonathan Wilson,jnthnwwlsn,1419863830,"Digital Religion at #AHA2015: @monicalmercado's rundown of #DH panels, esp. for religion #twitterstorians: http://usreligion.blogspot.com/2014/12/digital-religion-at-aha-2015.html™__éÙ",0,0,FALSE
Jessica Lautin,JessLautin,1419864234,#AHA2015 countdown: more history-rich museum recs: #killerheels @brooklynmuseum + #publiceyeNYPL @NYPL_GRD #twitterstorians,1,0,FALSE
Michelle Moravec,ProfessMoravec,1419864294,my workshop on advanced corpus linguistics for historians full at #aha2015 but no worries as you can follow along http://bit.ly/1vmvIng™_,5,5,FALSE
AHA,AHAhistorians,1419864863,Historians work in many professional arenas. @VLVarin blogs on #AHA2015 session How Can I Be a Historian in This Job? http://bit.ly/170qBF9™_,11,13,FALSE
Liz,elizabethkoza,1419864873,Kudos to @AHAhistorians on making an app for the #aha2015 meeting! It is incredibly useful and innovative in so many ways.,0,1,FALSE
EDSITEment,EDSITEment,1419865735,Going to #AHA2015 in NYC this weekend?  #NEH will staff an information table & session on Saturday 10:30 https://aha.confex.com/aha/2015/webprogram/Session12451.html™__éÙ ,,,
Adam D. Shprintzen,VegHistory,1419866468,"Bummed that I will be in NY & miss all the amazing #twitterstorians at #aha2015, but really excited to celebrate grandmother's 90th b-day.",0,4,FALSE
Prof. Bowles,TheHistoryFeed,1419866627,How Can I Be a Historian in This Job? http://buff.ly/1JXHE9J™_ #AHA2015 @,1,1,FALSE
SMH Historians,SMH_Historians,1419867374,"Prof. Mark Stoler to give @GeoCMarshallFou lecture at #AHA2015, 4 Jan 2015 - http://www.smh-hq.org/™_ @AHAhistorians #Twitterstorians #MilHist",3,1,FALSE
Jeff McClurken,jmcclurken,1419867920,Spending the morning working on my workshop and presentation on Digital History Pedagogy for #aha2015,0,1,FALSE
David Krueger,davidkrueger01,1419867928,I just downloaded my #aha2015 app. Any tips out there for those of us who can only participate virtually? https://guidebook.com/app/AHAMeeting/™_,0,0,FALSE
Stephanie A Kingsley,KingsleySteph,1419868068,#twitterstorians and #history professionals attending #aha2015:  still a few open slots in Digital Proj Lightning Rnd. Tweet at me to enter.,7,5,FALSE
Michelle Moravec,ProfessMoravec,1419868167,Shout outs to @TonyMcEnery #corpusmooc @perayson @_paulbaker_ @mixosaurus @heatherfro @antlabjp in #aha2015 workshop http://bit.ly/1vmvIng™_,6,3,FALSE
